30~39,Male,*,NM,Adm-clerical
50~59,Male,*,Married,Exec-managerial
30~39,Male,*,leave,Handlers-cleaners
50~59,Male,*,Married,Handlers-cleaners
20~29,Female,*,Married,Prof-specialty
30~39,Female,*,Married,Exec-managerial
40~49,Female,*,alone,Other-service
50~59,Male,*,Married,Exec-managerial
30~39,Female,*,NM,Prof-specialty
40~49,Male,*,Married,Exec-managerial
30~39,Male,*,Married,Exec-managerial
30~39,Male,*,Married,Prof-specialty
20~29,Female,*,NM,Adm-clerical
30~39,Male,*,NM,Sales
30~39,Male,*,Married,Transport-moving
20~29,Male,*,NM,Farming-fishing
30~39,Male,*,NM,Machine-op-inspct
30~39,Male,*,Married,Sales
40~49,Female,*,leave,Exec-managerial
40~49,Male,*,Married,Prof-specialty
50~59,Female,*,leave,Other-service
30~39,Male,*,Married,Farming-fishing
40~49,Male,*,Married,Transport-moving
50~59,Female,*,leave,Tech-support
50~59,Male,*,Married,Tech-support
10~19,Male,*,NM,Craft-repair
30~39,Male,*,leave,Exec-managerial
40~49,Male,*,Married,Craft-repair
20~29,Male,*,NM,Protective-serv
20~29,Male,*,NM,Sales
40~49,Male,*,leave,Exec-managerial
30~39,Male,*,Married,Adm-clerical
20~29,Male,*,Married,Other-service
40~49,Male,*,NM,Machine-op-inspct
20~29,Male,*,NM,Machine-op-inspct
10~19,Female,*,Married,Adm-clerical
40~49,Male,*,Married,Prof-specialty
30~39,Male,*,Married,Machine-op-inspct
50~59,Male,*,Married,Prof-specialty
20~29,Male,*,Married,Tech-support
40~49,Female,*,leave,Adm-clerical
20~29,Male,*,NM,Handlers-cleaners
50~59,Male,*,Married,Prof-specialty
50~59,Male,*,Married,Machine-op-inspct
40~49,Female,*,leave,Exec-managerial
40~49,Male,*,Married,Craft-repair
20~29,Male,*,NM,Prof-specialty
20~29,Female,*,Married,Exec-managerial
40~49,Female,*,Married,Prof-specialty
50~59,Male,*,leave,Exec-managerial
40~49,Male,*,leave,Exec-managerial
40~49,Male,*,Married,Tech-support
40~49,Male,*,Married,Machine-op-inspct
30~39,Male,*,Married,Other-service
40~49,Male,*,Married,Adm-clerical
30~39,Male,*,Married,Machine-op-inspct
30~39,Male,*,Married,Sales
40~49,Male,*,Married,Transport-moving
40~49,Male,*,Married,Prof-specialty
20~29,Male,*,leave,Tech-support
30~39,Male,*,Married,Craft-repair
20~29,Female,*,leave,Adm-clerical
50~59,Female,*,Married,Adm-clerical
40~49,Male,*,Married,Exec-managerial
10~19,Male,*,NM,Prof-specialty
30~39,Female,*,leave,Sales
20~29,Male,*,Married,Sales
20~29,Male,*,NM,Machine-op-inspct
70~79,Male,*,Married,Prof-specialty
20~29,Male,*,NM,Other-service
40~49,Male,*,Married,Adm-clerical
10~19,Female,*,NM,Other-service
30~39,Male,*,Married,Farming-fishing
10~19,Male,*,NM,Sales
50~59,Male,*,Married,Other-service
40~49,Female,*,Married,Other-service
50~59,Male,*,Married,Sales
40~49,Female,*,leave,Craft-repair
50~59,Female,*,leave,Sales
40~49,Male,*,Married,Protective-serv
30~39,Male,*,Married,Prof-specialty
30~39,Male,*,NM,Sales
40~49,Female,*,NM,Prof-specialty
50~59,Male,*,Married,Prof-specialty
30~39,Female,*,leave,Craft-repair
20~29,Female,*,leave,Machine-op-inspct
30~39,Male,*,Married,Protective-serv
20~29,Male,*,NM,Handlers-cleaners
40~49,Male,*,Married,Prof-specialty
30~39,Male,*,Married,Sales
40~49,Female,*,leave,Exec-managerial
30~39,Male,*,NM,Other-service
70~79,Male,*,Married,Exec-managerial
40~49,Male,*,Married,Exec-managerial
40~49,Female,*,NM,Prof-specialty
20~29,Female,*,NM,Tech-support
20~29,Male,*,NM,Craft-repair
30~39,Male,*,Married,Craft-repair
30~39,Male,*,NM,Handlers-cleaners
30~39,Female,*,NM,Adm-clerical
40~49,Male,*,Married,Handlers-cleaners
20~29,Male,*,NM,Sales
30~39,Male,*,Married,Prof-specialty
50~59,Male,*,Married,Other-service
20~29,Female,*,Married,Sales
30~39,Female,*,NM,Machine-op-inspct
50~59,Male,*,Married,Handlers-cleaners
50~59,Male,*,Married,Sales
40~49,Male,*,Married,Craft-repair
50~59,Male,*,Married,Sales
20~29,Male,*,NM,Craft-repair
20~29,Female,*,NM,Other-service
40~49,Male,*,Married,Exec-managerial
30~39,Male,*,NM,Exec-managerial
20~29,Male,*,Married,Prof-specialty
10~19,Male,*,NM,Other-service
40~49,Female,*,Married,Exec-managerial
20~29,Female,*,NM,Adm-clerical
30~39,Male,*,Married,Adm-clerical
30~39,Male,*,leave,Craft-repair
20~29,Female,*,NM,Sales
20~29,Female,*,NM,Other-service
30~39,Male,*,Married,Craft-repair
