17~19,1~4,Farming-fishing
17~19,1~4,Handlers-cleaners
17~19,1~4,Handlers-cleaners
17~19,1~4,Machine-op-inspct
17~19,1~4,Other-service
17~19,1~4,Other-service
17~19,1~4,Handlers-cleaners
17~19,1~4,Handlers-cleaners
17~19,1~4,Handlers-cleaners
17~19,1~4,Farming-fishing
17~19,1~4,Other-service
17~19,1~4,Craft-repair
17~19,1~4,Farming-fishing
17~19,1~4,Sales
17~19,4~5,Machine-op-inspct
17~19,4~5,Other-service
17~19,4~5,Farming-fishing
17~19,4~5,Sales
17~19,4~5,Other-service
17~19,4~5,Craft-repair
17~19,4~5,Transport-moving
17~19,4~5,Other-service
17~19,4~5,Other-service
17~19,4~5,Craft-repair
17~19,4~5,Handlers-cleaners
17~19,4~5,Other-service
17~19,4~5,Adm-clerical
17~19,4~5,Other-service
17~19,4~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Craft-repair
17~17,5~5,Sales
17~17,5~5,Other-service
17~17,5~5,Transport-moving
17~17,5~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Other-service
17~17,5~5,Craft-repair
17~17,5~5,Other-service
17~17,5~5,Other-service
17~19,5~5,Sales
17~19,5~5,Machine-op-inspct
17~19,5~5,Sales
17~19,5~5,Other-service
17~19,5~5,Handlers-cleaners
17~19,5~5,Other-service
17~19,5~5,Other-service
17~19,5~5,Handlers-cleaners
17~19,5~5,Other-service
17~19,5~5,Sales
17~19,5~5,Machine-op-inspct
17~19,5~5,Sales
17~19,5~5,Farming-fishing
17~19,5~5,Other-service
17~19,5~5,Prof-specialty
20~22,1~3,Other-service
20~22,1~3,Farming-fishing
20~22,1~3,Farming-fishing
20~22,1~3,Farming-fishing
20~22,1~3,Other-service
20~22,1~3,Craft-repair
20~22,1~3,Machine-op-inspct
20~22,1~3,Farming-fishing
20~22,1~3,Handlers-cleaners
20~22,1~3,Other-service
20~22,1~3,Handlers-cleaners
20~22,1~3,Handlers-cleaners
20~22,1~3,Priv-house-serv
20~22,1~3,Handlers-cleaners
20~22,3~4,Other-service
20~22,3~4,Handlers-cleaners
20~22,3~4,Machine-op-inspct
20~22,3~4,Handlers-cleaners
20~22,3~4,Priv-house-serv
20~22,3~4,Machine-op-inspct
